CUMULATIVE NETSIM STATISTICS AT TIME 13:57: 0
ELAPSED TIME IS  0:33: 0 ( 1980 SECONDS),    TIME PERIOD  1 ELAPSED TIME IS 1980 SECONDS
UpNode,DownNode,TravelDistanceTotal,Trips,MoveTimeTotal,DelayTravelTotal,TravelTimeTotal,MoveTimePerTravelTimeRatio,TravelTimePerDistanceTraveled,DelayTravelPerDistanceTraveled,TravelTimePerVehicle,DelayTravelPerVehicle,DelayControlPerVehicle,DelayQueuePerVehicle,DelayStopPerVehicle,StoppedVehiclesPercent,Volume,SpeedAverage,
Up Node,Down Node,Travel Distance Total,Trips,Move Time Total,Delay Travel Total,Travel Time Total,Move Time Per Travel Time Ratio,Travel Time Per DistanceT raveled,Delay Travel Per Distance Traveled,Travel Time Per Vehicle,Delay Travel Per Vehicle,Delay Control Per Vehicle,Delay Queue Per Vehicle,Delay Stop Per Vehicle,Stopped Vehicles Percent,Volume,Speed Average,
  7017,   108,       4.116,     265.000,       8.231,      -3.814,       4.417,       1.864,       1.073,      -0.927,       1.000,      -0.864,       0.000,       0.000,       0.000,       0.000,     482.062,      55.909,
   110,   109,       3.627,     266.000,       7.255,      -1.471,       5.783,       1.254,       1.594,      -0.406,       1.305,      -0.332,       0.000,       0.000,       0.000,       0.000,     483.881,      37.632,
   108,   110,       4.081,     266.000,       8.161,      -2.461,       5.700,       1.432,       1.397,      -0.603,       1.286,      -0.555,       1.774,       0.000,       0.000,       0.000,     483.881,      42.955,
   212,   211,      10.535,     438.000,      21.070,      17.180,      38.250,       0.551,       3.631,       1.631,       5.236,       2.359,       1.426,       1.402,       1.216,      48.174,     796.766,      16.526,
   208,   212,      16.213,     439.000,      32.426,      -9.059,      23.367,       1.388,       1.441,      -0.559,       3.193,      -1.238,       0.025,       0.018,       0.018,       0.911,     798.585,      41.631,
   211,   152,       3.048,     209.000,       6.096,      10.587,      16.683,       0.365,       5.474,       3.474,       4.786,       3.044,       0.000,       0.810,       0.686,       0.000,     380.192,      10.962,
   152,   196,       8.034,     404.000,      16.068,       2.382,      18.450,       0.871,       2.296,       0.296,       2.743,       0.360,       0.028,       0.005,       0.002,       0.248,     734.917,      26.127,
   196,   202,      17.139,     404.000,      34.279,       2.038,      36.317,       0.944,       2.119,       0.119,       5.384,       0.304,       0.000,       0.000,       0.000,       0.000,     734.917,      28.317,
   202,   209,      23.352,     548.000,      46.705,     -10.538,      36.167,       1.291,       1.549,      -0.451,       3.956,      -1.154,       0.000,       0.000,       0.000,       0.000,     996.867,      38.741,
   209,   210,      12.477,     549.000,      24.955,       2.945,      27.900,       0.894,       2.236,       0.236,       3.049,       0.322,       0.080,       0.000,       0.000,       0.000,     998.686,      26.833,
   210,   200,       3.237,     259.000,       6.475,       0.625,       7.100,       0.912,       2.193,       0.193,       1.642,       0.148,       0.104,       0.000,       0.000,       0.000,     471.147,      27.359,
